metres,bucket,slug,name,address,postcode,town,storedLat,storedLng,postcodeLat,postcodeLng
49178,badly wrong,penny-price-aromatherapy,Penny Price Aromatherapy,"Unit D3, Radius Ct, Maple Dr, Hinckley LE10 3BE, United Kingdom",LE10 3BE,Hinckley,52.5868159,-2.1256587,52.537457,-1.402663
17049,badly wrong,genesiscare,GenesisCare,"Little Aston Hall Dr, Little Aston, Sutton Coldfield B74 3BF, United Kingdom",B74 3BF,Sutton Coldfield,52.5868159,-2.1256587,52.60096,-1.874333
15160,badly wrong,sanctuary-aesthetics,Sanctuary Aesthetics,"36 Croydon Dr, Penkridge, Stafford ST19 5DW, United Kingdom",ST19 5DW,Stafford,52.5868159,-2.1256587,52.722909,-2.112329
15069,badly wrong,acorn-dental,Acorn Dental,"22a Hewell Rd, Barnt Green, Birmingham B45 8NE, United Kingdom",B45 8NE,Birmingham,52.4822694,-1.8900078,52.361398,-1.990505
15069,badly wrong,karun-dewan-specialist-periodontist-endodontics-dental-implants,Karun Dewan | Specialist Periodontist | Endodontics | Dental Implants,"RESTORE Dental Specialists, 30A Hewell Rd, Barnt Green, Birmingham B45 8NE, United Kingdom",B45 8NE,Birmingham,52.4822694,-1.8900078,52.361398,-1.990505
14858,badly wrong,alto-hearing-tinnitus-specialists-kenilworth,Alto Hearing & Tinnitus Specialists Kenilworth,"16 High St, Kenilworth CV8 1LZ, United Kingdom",CV8 1LZ,Kenilworth,52.411811,-1.77761,52.349879,-1.583639
14224,badly wrong,dr-aesthetica-medical-aesthetic-clinic,Dr Aesthetica Medical Aesthetic Clinic,"Unit 1, 1431 -1433 Bristol Rd S, Birmingham B31 2SU, United Kingdom",B31 2SU,Birmingham,52.411811,-1.77761,52.39867,-1.986177
13654,badly wrong,earwaxspecialist-co-uk-ear-wax-removal-stourbridge,Earwaxspecialist.co.uk- ear wax removal Stourbridge,"15-17 Lawn Ave, Stourbridge DY8 3UR, United Kingdom",DY8 3UR,Stourbridge,52.5361674,-2.010793,52.452971,-2.159138
13085,badly wrong,spire-little-aston-hospital,Spire Little Aston Hospital,"little aston hall drive, Little Aston Hall Dr, Sutton Coldfield B74 3UP, United Kingdom",B74 3UP,Sutton Coldfield,52.4822694,-1.8900078,52.599622,-1.875577
13039,badly wrong,dr-vicky-lewis-clinical-psychology-and-counselling-services,Dr Vicky Lewis Clinical Psychology and Counselling Services,"Tri Wellness Centre, Woodfield Farm, Norton Ln, Earlswood, Solihull B94 5LS, United Kingdom",B94 5LS,Solihull,52.4822694,-1.8900078,52.369477,-1.837418
12620,badly wrong,the-purple-house-clinic-birmingham,"The Purple House Clinic, Birmingham","Suite 1D, Unit 1, School House, St Philips Courtyard, Church Hill, Coleshill, Birmingham B46 3AD, United Kingdom",B46 3AD,Birmingham,52.4822694,-1.8900078,52.49948,-1.705764
12466,badly wrong,brownes-dental-surgery,Brownes Dental Surgery,"299 Lichfield Rd, The Royal Town of Sutton Coldfield, Birmingham, Sutton Coldfield B74 4BZ, United Kingdom",B74 4BZ,Sutton Coldfield,52.4822694,-1.8900078,52.588537,-1.831282
12448,badly wrong,mere-green-dental-care,Mere Green Dental Care,"Dental Surgery, 5A Mere Green Rd, The Royal Town of Sutton Coldfield, Birmingham, Sutton Coldfield B75 5BL, United Kingdom",B75 5BL,Sutton Coldfield,52.4822694,-1.8900078,52.587841,-1.828776
