from,to,status,reason
/4860,/,301,nothing known
/7605,/,301,nothing known
/anaesthetist-orthopaedic-surgeon/dr-basil-almahdi,/specialists/dr-basil-almahdi,301,live listing
/anaesthetist-orthopaedic-surgeon/dr-james-parry,/specialists/dr-james-parry,301,live listing
/birmingham-uk/aesthetic-doctors/mezzical-aesthetics-birmingham,/specialists/mezzical-aesthetics-birmingham,301,live listing
/birmingham-uk/aesthetic-doctors/sknwise-aesthetics,/specialists/sknwise-aesthetics,301,live listing
/birmingham-uk/aesthetic-doctors/westfield-aesthetics,/specialists/westfield-aesthetics,301,live listing
/birmingham-uk/ent-specialist/mr-amit-parmar-ent,/specialists/mr-amit-parmar-ent,301,live listing
/birmingham-uk/ent-specialist/mr-jonathan-fussey-ent,/specialists/mr-jonathan-fussey-ent,301,live listing
/birmingham-uk/gynaecology/dr-grisham-smotra-gynaecology,/specialists/dr-grisham-smotra-gynaecology,301,live listing
/birmingham-uk/gynaecology/dr-kausik-das-gynaecology,/specialists/dr-kausik-das-gynaecology,301,live listing
/birmingham-uk/gynaecology/edgbaston-private-medical-practice,/specialists/edgbaston-private-medical-practice,301,live listing
/birmingham-uk/gynaecology/the-gynaecology-health-clinic-miss-evi-bakali,/specialists/the-gynaecology-health-clinic-miss-evi-bakali,301,live listing
/birmingham-uk/paediatrics/dr-chetan-mehta-paediatric-cardiology,/search?specialty=paediatrics&location=Birmingham,301,not imported — specialty and town
/birmingham-uk/paediatrics/james-brindley-academy-birmingham-childrens-hospital,/search?specialty=paediatrics&location=Birmingham,301,not imported — specialty and town
/birmingham-uk/psychologist/birmingham-therapy,/specialists/birmingham-therapy,301,live listing
/birmingham-uk/psychologist/change-birmingham-brief-therapy,/specialists/change-birmingham-brief-therapy,301,live listing
/birmingham-uk/psychologist/dr-nick-consultant-clinical-psychologist-birmingham-therapy-i-online-assessment-therapy-strongerminds,/specialists/dr-nick-consultant-clinical-psychologist-birmingham-therapy-i-online-assessment-therapy-strongerminds,301,live listing
/birmingham-uk/psychologist/guildhall-counselling-birmingham-city-centre,/specialists/guildhall-counselling-birmingham-city-centre,301,live listing
/birmingham-uk/psychologist/hayley-trower-holistic-therapy,/specialists/hayley-trower-holistic-therapy,301,live listing
/birmingham-uk/psychologist/heartical-therapy,/specialists/heartical-therapy,301,live listing
/birmingham-uk/psychologist/livewell,/specialists/livewell,301,live listing
/birmingham-uk/psychologist/national-clinical-psychology-service,/specialists/national-clinical-psychology-service,301,live listing
/birmingham-uk/psychologist/new-meanings-psychology,/specialists/new-meanings-psychology,301,live listing
/birmingham-uk/psychologist/sc-therapy-and-wellbeing,/specialists/sc-therapy-and-wellbeing,301,live listing
/birmingham-uk/psychologist/seren-bay-limited,/specialists/seren-bay-limited,301,live listing
/birmingham-uk/psychologist/talkwell-counselling,/specialists/talkwell-counselling,301,live listing
/birmingham/achieve-health-harborne-birmingham,/search?location=Birmingham,301,not imported — town only
/birmingham/birmingham-physiocare,/search?location=Birmingham,301,not imported — town only
/birmingham/birmingham-sports-massage,/search?location=Birmingham,301,not imported — town only
/birmingham/chris-tiley-physiotherapy,/search?location=Birmingham,301,not imported — town only
/birmingham/fairways-physio-clinic,/search?location=Birmingham,301,not imported — town only
