full name,title,qualifications,primary specialty,practice areas,regions covered,photo url,source url,bio
Mr Jon Durnian,Consultant Ophthalmologist (Neuro-ophthalmology),Consultant Ophthalmologist (Neuro-ophthalmology),Personal Injury,Personal Injury; Clinical Negligence,North West,https://www.mccollumconsultants.com/wp-content/uploads/2021/10/R5_5307GC.jpg,https://www.mccollumconsultants.com/expert-witness/jon-durnian-ophthalmologist/,"Consultant Ophthalmologist (Neuro-ophthalmology), providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Cataracts, Choroidal Disorders, Corneal Foreign Body, Diabetic Complications, Glaucoma, Macular Disorders. Covers North West. Listing sourced from McCollum Consultants; awaiting claim and verification."
Mr Tawqeer Rashid,Consultant Vascular & Endovascular Surgeon,Consultant Vascular & Endovascular Surgeon,Personal Injury,Personal Injury; Clinical Negligence,North West,https://www.mccollumconsultants.com/wp-content/uploads/2021/10/R5_5380GC.jpg,https://www.mccollumconsultants.com/expert-witness/tawqeer-rashid/,"Consultant Vascular & Endovascular Surgeon, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Peripheral Arterial Disease, Amputation, Carotid Disease, Diabetic Complications, Wound Healing. Covers North West. Listing sourced from McCollum Consultants; awaiting claim and verification."
Professor Sarah O'Dwyer,Consultant Colorectal/Lower GI & General Surgeon,Consultant Colorectal/Lower GI & General Surgeon,Personal Injury,Personal Injury; Clinical Negligence,North West,https://www.mccollumconsultants.com/wp-content/uploads/2021/10/R5_5427GC.jpg,https://www.mccollumconsultants.com/expert-witness/sarah-odwyer-colorectal/,"Consultant Colorectal/Lower GI & General Surgeon, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Bowel Cancer, Gastrointestinal Bleeding, Inflammatory Bowel Disease, Reconstructive Surgery. Covers North West. Listing sourced from McCollum Consultants; awaiting claim and verification."
Mr Abhiram Sharma,Consultant Colorectal/Lower GI & General Surgeon,Consultant Colorectal/Lower GI & General Surgeon,Personal Injury,Personal Injury; Clinical Negligence,North West,https://www.mccollumconsultants.com/wp-content/uploads/2021/10/R5_5537GC.jpg,https://www.mccollumconsultants.com/expert-witness/abhiram-sharma-colorectal-surgeon-medicolegal-expert-witness/,"Consultant Colorectal/Lower GI & General Surgeon, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Bowel Cancer, Colonoscopy, Inflammatory Bowel Disease, Pelvic Floor Disorders. Covers North West. Listing sourced from McCollum Consultants; awaiting claim and verification."
Dr Leena Das,Consultant Rheumatologist,Consultant Rheumatologist,Personal Injury,Personal Injury; Clinical Negligence,North West,https://www.mccollumconsultants.com/wp-content/uploads/2021/10/R5_5633GC.jpg,https://www.mccollumconsultants.com/expert-witness/leena-das-rheumatologist/,"Consultant Rheumatologist, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Rheumatology. Covers North West. Listing sourced from McCollum Consultants; awaiting claim and verification."
Mr Adam Reid,Consultant Plastic & Reconstructive Surgeon,"Consultant Plastic & Reconstructive Surgeon, Senior Clinical Lecturer",Personal Injury,Personal Injury; Clinical Negligence,North West,https://www.mccollumconsultants.com/wp-content/uploads/2021/10/R5_5671GC.jpg,https://www.mccollumconsultants.com/expert-witness/adam-reid-plastic-surgeon/,"Consultant Plastic & Reconstructive Surgeon, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Plastic Surgery, Reconstructive Surgery. Covers North West. Listing sourced from McCollum Consultants; awaiting claim and verification."
Mr Lorcan Butler,,Dispensing Optician & Optometrist,Personal Injury,Personal Injury; Clinical Negligence,,https://www.mccollumconsultants.com/wp-content/uploads/2025/09/Lorcan_Butler_McC_CG_001.jpg,https://www.mccollumconsultants.com/expert-witness/lorcan-butler/,"Medico-legal expert, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Cataracts, Congenital Cataract & Glaucoma, Diabetic Eye, Dry Eye Disease, Glaucoma, Ophthalmology. Regions covered: not stated by the source listing. Listing sourced from McCollum Consultants; awaiting claim and verification."
Mr Venkatarama Dwarampudi,,Advanced Orthoptist,Personal Injury,Personal Injury; Clinical Negligence,North West,https://www.mccollumconsultants.com/wp-content/uploads/2025/06/Venkat_Dwarampud_001_CG.jpg,https://www.mccollumconsultants.com/expert-witness/venkatarama-dwarampudi/,"Medico-legal expert, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Double Vision, Eye Conditions, Optic Nerve Conditions, Orthoptics, Paediatric Ocular Inflammation, Paediatric Ophthalmology. Covers North West. Listing sourced from McCollum Consultants; awaiting claim and verification."
Professor Jane Ashworth,Consultant Ophthalmic Surgeon & Paediatric Ophthalmologist,Consultant Ophthalmic Surgeon & Paediatric Ophthalmologist,Personal Injury,Personal Injury; Clinical Negligence,North West,https://www.mccollumconsultants.com/wp-content/uploads/2023/06/Jane_Ashworth_grey_crop_P.jpg,https://www.mccollumconsultants.com/expert-witness/jane-ashworth-consultant-ophthalmic-surgeon-paediatric-ophthalmologist/,"Consultant Ophthalmic Surgeon & Paediatric Ophthalmologist, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Cerebral Visual Impairment, Childhood Strabismus and Amblyopia, Congenital Cataract & Glaucoma, Genetic Eye Disorders, Neurometabolic Disease, Paediatric Ophthalmology. Covers North West. Listing sourced from McCollum Consultants; awaiting claim and verification."
Mr Anthony Josephson,,Optometrist,Personal Injury,Personal Injury; Clinical Negligence,North West,https://www.mccollumconsultants.com/wp-content/uploads/2023/08/Anthony_Josephson__001-Crop_Grey-copy.jpg,https://www.mccollumconsultants.com/expert-witness/anthony-josephson-optometrist/,"Medico-legal expert, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Cataracts, Choroidal Disorders, Complex Contact Lenses, Corneal Disorders, Diabetic Eye, Dry Eye Disease. Covers North West. Listing sourced from McCollum Consultants; awaiting claim and verification."
Professor Alastair Windsor,Consultant Colorectal Surgeon,Consultant Colorectal Surgeon,Personal Injury,Personal Injury; Clinical Negligence,,https://www.mccollumconsultants.com/wp-content/uploads/2026/04/Alastair_Windsor_01.jpg,https://www.mccollumconsultants.com/expert-witness/alastair-windsor/,"Consultant Colorectal Surgeon, providing expert witness reports for personal injury, clinical negligence cases. Clinical expertise: Bowel Obstruction, Colorectal Cancer, Inflammatory Bowel Disease, Hernias, Pelvic Floor Disorders. Regions covered: not stated by the source listing. Listing sourced from McCollum Consultants; awaiting claim and verification."
